,dependency_name,version,parsed_date,download_url,serializable_cnt,add_serializable,remove_serializable,add_serializable_indirect,remove_serializable_indirect,add_class,remove_class,next_version
34628,org.webjars.npm.jquery,1.7.2,2017-06-07,https://repo1.maven.org/maven2/org/webjars/npm/jquery/1.7.2/jquery-1.7.2.jar,,,,,,,,
34629,org.webjars.npm.jquery,1.7.3,2017-06-07,https://repo1.maven.org/maven2/org/webjars/npm/jquery/1.7.3/jquery-1.7.3.jar,,,,,,,,
34630,org.webjars.npm.jquery,1.8.2,2021-11-19,https://repo1.maven.org/maven2/org/webjars/npm/jquery/1.8.2/jquery-1.8.2.jar,,,,,,,,
34631,org.webjars.npm.jquery,1.8.3,2019-10-02,https://repo1.maven.org/maven2/org/webjars/npm/jquery/1.8.3/jquery-1.8.3.jar,,,,,,,,
34632,org.webjars.npm.jquery,1.9.1,2019-07-30,https://repo1.maven.org/maven2/org/webjars/npm/jquery/1.9.1/jquery-1.9.1.jar,,,,,,,,
34633,org.webjars.npm.jquery,1.11.0,2017-05-30,https://repo1.maven.org/maven2/org/webjars/npm/jquery/1.11.0/jquery-1.11.0.jar,,,,,,,,1.11.1
34634,org.webjars.npm.jquery,1.11.1,2016-10-20,https://repo1.maven.org/maven2/org/webjars/npm/jquery/1.11.1/jquery-1.11.1.jar,,,,,,,,1.11.3
34635,org.webjars.npm.jquery,1.11.3,2015-08-19,https://repo1.maven.org/maven2/org/webjars/npm/jquery/1.11.3/jquery-1.11.3.jar,,,,,,,,1.12.1
34636,org.webjars.npm.jquery,1.12.1,2016-03-15,https://repo1.maven.org/maven2/org/webjars/npm/jquery/1.12.1/jquery-1.12.1.jar,,,,,,,,1.12.2
34637,org.webjars.npm.jquery,1.12.2,2016-03-29,https://repo1.maven.org/maven2/org/webjars/npm/jquery/1.12.2/jquery-1.12.2.jar,,,,,,,,1.12.3
34638,org.webjars.npm.jquery,1.12.3,2016-04-26,https://repo1.maven.org/maven2/org/webjars/npm/jquery/1.12.3/jquery-1.12.3.jar,,,,,,,,1.12.4
34639,org.webjars.npm.jquery,1.12.4,2016-05-28,https://repo1.maven.org/maven2/org/webjars/npm/jquery/1.12.4/jquery-1.12.4.jar,,,,,,,,2.1.0
34640,org.webjars.npm.jquery,2.1.0,2017-12-29,https://repo1.maven.org/maven2/org/webjars/npm/jquery/2.1.0/jquery-2.1.0.jar,,,,,,,,2.1.1
34641,org.webjars.npm.jquery,2.1.1,2015-09-29,https://repo1.maven.org/maven2/org/webjars/npm/jquery/2.1.1/jquery-2.1.1.jar,,,,,,,,2.1.3
34642,org.webjars.npm.jquery,2.1.3,2015-07-27,https://repo1.maven.org/maven2/org/webjars/npm/jquery/2.1.3/jquery-2.1.3.jar,,,,,,,,2.1.4
34643,org.webjars.npm.jquery,2.1.4,2015-12-04,https://repo1.maven.org/maven2/org/webjars/npm/jquery/2.1.4/jquery-2.1.4.jar,,,,,,,,2.2.0
34644,org.webjars.npm.jquery,2.2.0,2016-01-11,https://repo1.maven.org/maven2/org/webjars/npm/jquery/2.2.0/jquery-2.2.0.jar,,,,,,,,2.2.1
34646,org.webjars.npm.jquery,2.2.1,2016-07-01,https://repo1.maven.org/maven2/org/webjars/npm/jquery/2.2.1/jquery-2.2.1.jar,,,,,,,,2.2.2
34674,org.webjars.npm.jquery,2.2.2,2016-04-05,https://repo1.maven.org/maven2/org/webjars/npm/jquery/2.2.2/jquery-2.2.2.jar,,,,,,,,2.2.3
34700,org.webjars.npm.jquery,2.2.3,2016-06-01,https://repo1.maven.org/maven2/org/webjars/npm/jquery/2.2.3/jquery-2.2.3.jar,,,,,,,,2.2.4
34675,org.webjars.npm.jquery,2.2.4,2016-07-25,https://repo1.maven.org/maven2/org/webjars/npm/jquery/2.2.4/jquery-2.2.4.jar,,,,,,,,3.0.0
34703,org.webjars.npm.jquery,3.0.0,2016-06-09,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.0.0/jquery-3.0.0.jar,,,,,,,,3.1.0
34704,org.webjars.npm.jquery,3.1.0,2016-07-25,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.1.0/jquery-3.1.0.jar,,,,,,,,3.1.1
34705,org.webjars.npm.jquery,3.1.1,2016-09-23,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.1.1/jquery-3.1.1.jar,,,,,,,,3.2.0
34706,org.webjars.npm.jquery,3.2.0,2017-03-16,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.2.0/jquery-3.2.0.jar,,,,,,,,3.2.1
34707,org.webjars.npm.jquery,3.2.1,2017-03-21,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.2.1/jquery-3.2.1.jar,,,,,,,,3.3.0
34708,org.webjars.npm.jquery,3.3.0,2018-02-21,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.3.0/jquery-3.3.0.jar,,,,,,,,3.3.1
34709,org.webjars.npm.jquery,3.3.1,2018-01-22,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.3.1/jquery-3.3.1.jar,,,,,,,,3.4.0
34710,org.webjars.npm.jquery,3.4.0,2019-04-11,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.4.0/jquery-3.4.0.jar,,,,,,,,3.4.1
34711,org.webjars.npm.jquery,3.4.1,2019-05-02,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.4.1/jquery-3.4.1.jar,,,,,,,,3.5.0
34712,org.webjars.npm.jquery,3.5.0,2020-04-13,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.5.0/jquery-3.5.0.jar,,,,,,,,3.5.1
34713,org.webjars.npm.jquery,3.5.1,2020-05-06,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.5.1/jquery-3.5.1.jar,,,,,,,,3.6.0
34714,org.webjars.npm.jquery,3.6.0,2021-03-03,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.6.0/jquery-3.6.0.jar,,,,,,,,3.6.1
34715,org.webjars.npm.jquery,3.6.1,2022-08-29,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.6.1/jquery-3.6.1.jar,,,,,,,,3.6.2
34716,org.webjars.npm.jquery,3.6.2,2022-12-13,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.6.2/jquery-3.6.2.jar,,,,,,,,3.6.3
34717,org.webjars.npm.jquery,3.6.3,2022-12-22,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.6.3/jquery-3.6.3.jar,,,,,,,,3.7.0
34718,org.webjars.npm.jquery,3.6.4,2023-03-10,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.6.4/jquery-3.6.4.jar,,,,,,,,3.7.0
34719,org.webjars.npm.jquery,3.7.0,2023-05-12,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.7.0/jquery-3.7.0.jar,,,,,,,,
34720,org.webjars.npm.jquery,3.7.1,2023-08-29,https://repo1.maven.org/maven2/org/webjars/npm/jquery/3.7.1/jquery-3.7.1.jar,,,,,,,,
